Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Labels,Entity
97.7,33.2,19.565,2.245,2,Afghanistan
99.80413,99.7,0.28,4.445,1,Algeria
46.89061,50.2,55.565,2.71,2,Angola
100.0,100.0,0.0,3.61,1,Antigua and Barbuda
100.0,99.9,9.39,3.4050000000000002,1,Argentina
100.0,98.1,7.904999999999999,4.140000000000001,1,Armenia
100.0,100.0,8.344999999999999,5.38,1,Australia
100.0,100.0,31.229999999999997,3.16,1,Austria
100.0,96.8,2.6799999999999997,4.54,1,Azerbaijan
100.0,100.0,1.4849999999999999,2.25,1,The Bahamas
100.0,100.0,0.0,9.645,1,Bahrain
96.2,25.0,41.69,2.935,2,Bangladesh
100.0,100.0,8.855,3.9450000000000003,1,Barbados
100.0,99.6,7.025,7.265000000000001,1,Belarus
100.0,100.0,5.525,4.57,1,Belgium
97.113335,82.1,33.155,5.555,1,Belize
41.410957,4.0,52.4,5.734999999999999,0,Benin
100.0,80.2,91.0,10.399999999999999,2,Bhutan
100.0,45.2,19.65,6.255,2,Bosnia and Herzegovina
71.99476,64.7,28.35,3.245,2,Botswana
100.0,95.9,45.295,3.885,1,Brazil
18.95724,10.6,79.955,5.095000000000001,0,Burkina Faso
11.735556,0.2,92.9,7.9799999999999995,0,Burundi
86.4,36.8,66.505,4.92,2,Cambodia
64.72137,21.9,79.33,4.74,0,Cameroon
100.0,100.0,21.99,7.27,1,Canada
15.465084,0.8,91.5,7.69,0,Central African Republic
11.080117,6.8,80.205,4.215,0,Chad
100.0,100.0,30.384999999999998,3.7350000000000003,1,Chile
100.0,79.4,13.925,8.94,1,China
100.0,93.2,30.195,2.565,1,Colombia
86.73714,8.4,65.88,2.7,2,Comoros
49.5171,34.9,63.63,3.24,0,Congo
99.9,95.7,37.91,2.4000000000000004,1,Costa Rica
100.0,100.0,27.16,3.715,1,Croatia
100.0,93.8,21.75,1.77,1,Cuba
100.0,100.0,6.43,3.295,1,Cyprus
100.0,100.0,10.6,5.245,1,Czechia
100.0,100.0,20.265,2.78,1,Denmark
61.767082,9.65,32.5,4.4399999999999995,2,Djibouti
100.0,88.9,10.125,2.9800000000000004,1,Dominican Republic
100.0,91.5,17.310000000000002,2.605,1,Dominican Republic
98.85,94.3,15.600000000000001,3.365,1,Ecuador
100.0,99.9,5.745,3.6500000000000004,1,Egypt
100.0,91.8,30.884999999999998,3.7,1,El Salvador
66.74773,24.5,6.785,2.635,2,Equatorial Guinea
52.171097,9.3,77.435,4.8893965,0,Eritrea
100.0,100.0,24.28,6.02,1,Estonia
79.7305,55.4,69.655,5.355,2,eSwatini
51.093983,7.8,94.1,13.25,0,Ethiopia
100.0,51.4,34.445,2.295,2,Fiji
100.0,100.0,34.019999999999996,5.845000000000001,1,Finland
100.0,100.0,10.99,3.995,1,France
91.57156,88.1,84.44,6.73,2,Gabon
62.273067,1.7,56.775000000000006,3.115,0,Gambia
100.0,89.1,36.26,4.05,1,Georgia
100.0,100.0,11.165,3.5700000000000003,1,Germany
85.87355,22.2,51.905,3.38,2,Ghana
100.0,100.0,10.28,3.17,1,Greece
93.58645,89.1,10.565000000000001,2.51,1,Grenada
97.05527,50.1,64.95,4.1850000000000005,2,Guatemala
44.66868,1.9,78.91,7.625,0,Guinea
33.33547,1.1,87.88,10.645,0,Guinea-Bissau
92.54054,80.6,30.35,4.79,1,Guyana
46.925533,4.5,79.17,5.7,0,Haiti
93.20671,48.3,51.2,4.905,2,Honduras
100.0,100.0,12.875,4.395,1,Hungary
100.0,100.0,75.32499999999999,12.225,1,Iceland
99.0,67.9,36.785,5.324999999999999,1,India
96.95,84.5,36.495000000000005,4.255,1,Indonesia
100.0,99.0,0.97,5.1899999999999995,1,Iraq
100.0,100.0,5.305,2.4,1,Ireland
100.0,100.0,6.4,3.58,1,Israel
100.0,100.0,12.219999999999999,2.87,1,Italy
100.0,82.7,8.93,4.365,1,Jamaica
100.0,100.0,4.585,4.279999999999999,1,Japan
99.9,99.9,2.8449999999999998,3.885,1,Jordan
100.0,92.7,1.855,8.48,1,Kazakhstan
71.43794,19.5,78.53,5.85,0,Kenya
91.96303,9.9,46.06999999999999,6.135,2,Kiribati
100.0,100.0,0.0,6.8100000000000005,1,Kuwait
99.98105,76.6,25.77,5.865,1,Kyrgyzstan
100.0,100.0,36.205,3.79,1,Latvia
47.352737,40.1,53.48,11.265,2,Lesotho
27.53471,0.4,87.67500000000001,13.495000000000001,0,Liberia
100.0,100.0,20.775,4.32,1,Lithuania
100.0,100.0,3.86,3.1950000000000003,1,Luxembourg
33.735077,1.0,84.38,6.255,0,Madagascar
14.866769,1.0,81.03999999999999,4.005,0,Malawi
100.0,95.5,3.175,5.4,1,Malaysia
100.0,99.2,1.435,2.205,1,Maldives
50.561417,0.9,79.58500000000001,4.83,0,Mali
100.0,100.0,0.74,2.605,1,Malta
47.34842,42.6,34.510000000000005,2.705,2,Mauritania
99.66165,96.8,12.75,2.605,1,Mauritius
99.4,84.9,9.795,3.7,1,Mexico
98.1,51.8,4.445,7.805,1,Mongolia
100.0,62.4,42.96,3.8,2,Montenegro
100.0,98.1,14.09,3.4850000000000003,1,Morocco
30.603832,5.1,86.045,14.620000000000001,0,Mozambique
70.397194,31.25,80.015,3.91,2,Myanmar
56.258694,46.8,31.6,3.5,2,Namibia
100.0,100.0,0.055,8.899999999999999,1,Nauru
89.9,34.8,87.525,5.945,2,Nepal
100.0,100.0,4.16,3.75,1,Netherlands
100.0,100.0,30.29,4.535,1,New Zealand
88.90738,56.2,53.145,4.710000000000001,2,Nicaragua
19.25191,2.4,82.63,5.475,0,Niger
55.4,15.0,84.31,6.949999999999999,0,Nigeria
100.0,78.1,18.810000000000002,4.52,1,North Macedonia
100.0,100.0,58.06,4.175,1,Norway
100.0,100.0,0.0,7.555,1,Oman
75.37969,49.3,47.120000000000005,5.1,2,Pakistan
96.704636,87.6,22.435000000000002,1.81,1,Panama
60.4,9.4,56.875,5.92,0,Papua New Guinea
100.0,68.6,64.485,3.3,2,Paraguay
99.31181,85.1,32.545,2.62,1,Peru
96.842384,48.0,32.224999999999994,3.18,2,Philippines
100.0,100.0,9.165,4.54,1,Poland
100.0,100.0,24.66,2.98,1,Portugal
100.0,100.0,0.065,7.01,1,Qatar
100.0,87.7,21.310000000000002,3.565,1,Romania
46.6,2.4,87.75,5.640000000000001,0,Rwanda
100.0,100.0,1.6,2.675,1,Saint Kitts and Nevis
100.0,94.3,14.15,3.0149999999999997,1,Saint Lucia
100.0,94.2,5.3100000000000005,2.7300000000000004,1,Saint Vincent and the Grenadines
100.0,36.5,42.894999999999996,4.115,2,Samoa
76.55909,3.3,44.584999999999994,3.98,2,Sao Tome and Principe
100.0,100.0,0.01,5.58,1,Saudi Arabia
70.36894,24.2,42.61,3.9400000000000004,2,Senegal
100.0,79.8,20.47,5.66,1,Republic of Serbia
100.0,100.0,1.11,3.12,1,Seychelles
26.200886,0.8,84.63,6.66,0,Sierra Leone
100.0,100.0,0.55,2.74,1,Singapore
100.0,100.0,10.14,5.43,1,Slovakia
100.0,100.0,19.355,4.49,1,Slovenia
73.34648,9.1,48.64,6.390000000000001,2,Solomon Islands
49.73087,3.2,93.6,11.625,0,Somalia
84.38554,86.8,10.855,8.71,1,South Africa
7.2413383,0.0,28.65,1.2774795,0,South Sudan
100.0,100.0,13.344999999999999,3.0999999999999996,1,Spain
100.0,32.2,60.45,2.225,2,Sri Lanka
55.3897,54.7,64.335,5.215,2,Sudan
98.20477,94.5,21.625,3.41,1,Suriname
100.0,100.0,45.065,4.645,1,Sweden
100.0,100.0,20.265,2.135,1,Switzerland
99.7793,82.4,57.89,5.17,1,Tajikistan
100.0,83.6,22.53,5.04,1,Thailand
53.997433,10.1,76.81,10.48,0,Togo
100.0,84.1,1.95,2.92,1,Tonga
100.0,100.0,0.45,20.605,1,Trinidad and Tobago
100.0,99.8,13.58,3.91,1,Tunisia
100.0,95.2,13.57,2.9299999999999997,1,Turkey
100.0,99.9,0.07,20.645,1,Turkmenistan
99.68923,70.6,0.13,3.505,1,Tuvalu
42.074417,0.5,93.45500000000001,10.725,0,Uganda
100.0,94.9,2.8,9.27,1,Ukraine
100.0,100.0,0.11,5.0649999999999995,1,United Arab Emirates
100.0,100.0,3.525,3.205,1,United Kingdom
100.0,100.0,7.395,5.525,1,United States of America
100.0,100.0,46.245000000000005,2.7,1,Uruguay
100.0,84.25,1.295,14.145,1,Uzbekistan
67.33327,7.6,40.269999999999996,3.635,2,Vanuatu
73.75793,61.5,0.835,3.16095235,1,Yemen
44.524475,10.4,88.635,8.18,0,Zambia
52.74767,30.4,81.9,10.0,0,Zimbabwe
